YearMonth,Revenue
2017-01,3289.14
2017-02,3624.032142857143
2017-03,3313.892580645161
2017-04,3792.684666666667
2017-05,3943.1487096774194
2017-06,3348.2973333333334
2017-07,3664.4406451612904
2017-08,3559.82
2017-09,3920.177
2017-10,3345.5970967741932
2017-11,3660.0703333333336
2017-12,3256.7587096774196
2018-01,7303.927096774193
2018-02,8074.958571428571
2018-03,7593.828709677419
2018-04,7519.650333333334
2018-05,7352.087741935484
2018-06,7319.341666666666
2018-07,7915.967741935484
2018-08,7999.382580645161
2018-09,7899.925666666666
2018-10,6918.170967741935
2018-11,7991.419
2018-12,7051.237096774194
2019-01,4648.075483870967
2019-02,5992.849999999999
2019-03,5515.77935483871
2019-04,5050.427333333334
2019-05,4933.748709677419
2019-06,5323.896
2019-07,4824.232258064517
2019-08,4533.642258064517
2019-09,4250.082
2019-10,5065.536774193548
2019-11,4241.668
2019-12,5569.852580645161
2020-01,6435.033548387097
2020-02,6104.930344827587
2020-03,4233.807096774193
2020-04,0.0
2020-05,0.0
2020-06,1939.0573333333334
2020-07,2515.1009677419356
2020-08,3791.5529032258064
2020-09,3814.1726666666664
2020-10,4799.933870967742
2020-11,5623.325666666667
2020-12,7387.774193548387
2021-01,1442.0409677419357
2021-02,1205.3046428571429
2021-03,1374.5945161290322
2021-04,1722.9806666666666
2021-05,1623.6058064516128
2021-06,2152.569
2021-07,1887.5751612903227
2021-08,2281.1158064516126
2021-09,2063.9376666666667
2021-10,2088.4070967741936
2021-11,2095.8823333333335
2021-12,3293.409677419355
2022-01,1220.4070967741936
2022-02,1413.2514285714285
2022-03,1378.9648387096772
2022-04,1579.5659999999998
2022-05,1158.5919354838709
2022-06,1193.966
2022-07,1466.6874193548385
2022-08,1442.7106451612904
2022-09,1248.6796666666667
2022-10,1538.4235483870966
2022-11,2159.988
2022-12,1880.100322580645
