YearMonth,Revenue
2017-01,5495.101935483871
2017-02,5104.3675
2017-03,5372.0238709677415
2017-04,6684.338999999999
2017-05,5755.331290322581
2017-06,6247.47
2017-07,5810.873548387096
2017-08,5555.352258064517
2017-09,6254.272666666667
2017-10,4948.167096774193
2017-11,4817.662666666667
2017-12,4504.435483870968
2018-01,11941.366129032258
2018-02,11858.448928571428
2018-03,12945.798064516128
2018-04,9548.851666666666
2018-05,10056.92064516129
2018-06,11600.362666666666
2018-07,11531.692903225807
2018-08,10601.015806451613
2018-09,13640.417666666668
2018-10,10926.182258064517
2018-11,11943.701000000001
2018-12,12147.636129032258
2019-01,8440.02064516129
2019-02,7027.9689285714285
2019-03,7397.78193548387
2019-04,7700.0616666666665
2019-05,8450.442580645162
2019-06,7972.261666666667
2019-07,8677.28064516129
2019-08,6727.857419354839
2019-09,6508.129
2019-10,8809.263870967741
2019-11,7268.119333333334
2019-12,8278.416129032257
2020-01,10129.304193548387
2020-02,8616.261379310345
2020-03,7194.111290322581
2020-04,0.0
2020-05,0.0
2020-06,2651.8576666666663
2020-07,4643.050967741935
2020-08,6375.275806451613
2020-09,6036.7339999999995
2020-10,5956.602580645161
2020-11,8679.974
2020-12,11179.546129032258
2021-01,1933.778064516129
2021-02,2019.3989285714285
2021-03,1964.9074193548386
2021-04,2744.625
2021-05,2428.4890322580645
2021-06,3438.8083333333334
2021-07,2724.981935483871
2021-08,3302.112258064516
2021-09,3641.264
2021-10,3334.0932258064518
2021-11,4037.869
2021-12,4851.115483870967
2022-01,2251.2741935483873
2022-02,2089.3357142857144
2022-03,1932.9645161290323
2022-04,2513.076
2022-05,1765.9106451612902
2022-06,2192.409
2022-07,2232.5074193548385
2022-08,2310.8399999999997
2022-09,1827.4926666666665
2022-10,2057.5909677419354
2022-11,2475.964
2022-12,3548.668387096774
