YearMonth,Revenue
2017-01,4558.030322580646
2017-02,5179.411428571429
2017-03,5083.246774193548
2017-04,4713.211333333334
2017-05,4469.427419354839
2017-06,5136.653666666666
2017-07,5448.650967741935
2017-08,4470.685483870968
2017-09,5391.853666666666
2017-10,4515.256129032258
2017-11,5098.526333333333
2017-12,5985.15870967742
2018-01,9306.530322580646
2018-02,7970.471785714285
2018-03,11514.584516129033
2018-04,10756.915
2018-05,10482.524193548386
2018-06,10328.488000000001
2018-07,10552.289354838711
2018-08,9943.446129032258
2018-09,8954.413666666665
2018-10,10153.806774193548
2018-11,9167.854
2018-12,10869.693870967742
2019-01,6430.405483870968
2019-02,6980.237857142857
2019-03,7433.8099999999995
2019-04,6463.209
2019-05,6069.699032258065
2019-06,5613.809666666667
2019-07,6975.622903225806
2019-08,6894.297741935484
2019-09,6673.6016666666665
2019-10,6993.884516129033
2019-11,6388.83
2019-12,6088.729677419355
2020-01,8371.633548387097
2020-02,6736.418965517241
2020-03,5134.7990322580645
2020-04,0.0
2020-05,0.0
2020-06,2245.7326666666663
2020-07,3824.2987096774195
2020-08,4806.661612903226
2020-09,5433.2390000000005
2020-10,5389.166774193549
2020-11,7870.533333333334
2020-12,7304.474193548387
2021-01,1707.1309677419354
2021-02,1879.954642857143
2021-03,2012.3022580645163
2021-04,2047.1963333333333
2021-05,1980.1635483870969
2021-06,3266.814
2021-07,2644.728064516129
2021-08,2588.860322580645
2021-09,2627.0690000000004
2021-10,2804.266129032258
2021-11,4080.022
2021-12,3597.5870967741935
2022-01,1968.1025806451612
2022-02,1843.2407142857141
2022-03,1606.2116129032258
2022-04,1655.1
2022-05,1773.4006451612902
2022-06,2031.8533333333332
2022-07,1786.4383870967742
2022-08,1715.4622580645162
2022-09,1614.7333333333333
2022-10,2200.502258064516
2022-11,2830.534666666667
2022-12,2945.7599999999998
